feature,importance
prev_hour_demand,0.8982023974007867
pickup_hour,0.027935158055043634
avg_speed,0.016601375848395952
avg_distance,0.010125489571987539
avg_duration,0.008410724639368025
avg_fare,0.006031178673515387
pickup_weekday,0.0051579659744578595
PULocationID_79,0.0035951650694000755
PULocationID_249,0.002983761752374778
is_weekend,0.0027982543821347752
PULocationID_132,0.0026078256553608314
PULocationID_148,0.0017129045879756952
PULocationID_142,0.0013870566885565271
PULocationID_48,0.00117430512871679
PULocationID_138,0.001115061140632997
